Nome,Tipo,Habilidades,Geração
Bulbasaur,"Planta, Venenoso","Raio Solar, Veneno Ácido",Primeira
Ivysaur,"Planta, Venenoso","Raio Solar, Veneno Ácido",Primeira
Venusaur,"Planta, Venenoso","Raio Solar, Veneno Ácido",Primeira
Charmander,"Fogo","Chama, Investida de Fogo",Primeira
Charmeleon,"Fogo","Chama, Investida de Fogo",Primeira
Charizard,"Fogo, Voador","Chama, Bico Perfurante",Primeira
Squirtle,"Água","Surf, Jato de Água",Primeira
Wartortle,"Água","Surf, Jato de Água",Primeira
Blastoise,"Água","Surf, Jato de Água",Primeira
Caterpie,"Inseto","Investida, Pó Venenoso",Primeira
Metapod,"Inseto","Investida, Pó Venenoso",Primeira
Butterfree,"Inseto, Voador","Investida, Vento Prateado",Primeira
Weedle,"Inseto, Venenoso","Investida, Pó Venenoso",Primeira
Kakuna,"Inseto, Venenoso","Investida, Pó Venenoso",Primeira
Beedrill,"Inseto, Venenoso","Investida, Agulha Dupla",Primeira
Pidgey,"Normal, Voador","Investida, Vento Cortante",Primeira
Pidgeotto,"Normal, Voador","Investida, Vento Cortante",Primeira
Pidgeot,"Normal, Voador","Investida, Vento Cortante",Primeira
Rattata,"Normal","Investida, Hyper Presa",Primeira
Raticate,"Normal","Investida, Hyper Presa",Primeira
Spearow,"Normal, Voador","Investida, Bico Perfurante",Primeira
Fearow,"Normal, Voador","Investida, Bico Perfurante",Primeira
Ekans,"Venenoso","Presa Venenosa, Investida de Ácido",Primeira
Arbok,"Venenoso","Presa Venenosa, Investida de Ácido",Primeira
Pikachu,"Elétrico","Raio Veloz, Choque do Trovão",Primeira
Raichu,"Elétrico","Raio Veloz, Choque do Trovão",Primeira
Sandshrew,"Terra","Investida de Areia, Terremoto",Primeira
Sandslash,"Terra","Investida de Areia, Terremoto",Primeira
Nidoran♀,"Venenoso","Investida, Pó Venenoso",Primeira
Nidorina,"Venenoso","Investida, Pó Venenoso",Primeira
Nidoqueen,"Venenoso, Terra","Investida, Terremoto",Primeira
Nidoran♂,"Venenoso","Investida, Pó Venenoso",Primeira
Nidorino,"Venenoso","Investida, Pó Venenoso",Primeira
Nidoking,"Venenoso, Terra","Investida, Terremoto",Primeira
Clefairy,"Fada","Raio Psíquico, Bola Sombria",Primeira
Clefable,"Fada","Raio Psíquico, Bola Sombria",Primeira
Vulpix,"Fogo","Chama, Investida de Fogo",Primeira
Ninetales,"Fogo","Chama, Investida de Fogo",Primeira
Jigglypuff,"Normal, Fada","Investida, Bola Sombria",Primeira
Wigglytuff,"Normal, Fada","Investida, Bola Sombria",Primeira
Zubat,"Venenoso, Voador","Investida, Vento Cortante",Primeira
Golbat,"Venenoso, Voador","Investida, Vento Cortante",Primeira
Oddish,"Planta, Venenoso","Raio Solar, Veneno Ácido",Primeira
Gloom,"Planta, Venenoso","Raio Solar, Veneno Ácido",Primeira
Vileplume,"Planta, Venenoso","Raio Solar, Veneno Ácido",Primeira
Paras,"Inseto, Planta","Investida, Raio Solar",Primeira
Parasect,"Inseto, Planta","Investida, Raio Solar",Primeira
Venonat,"Inseto, Venenoso","Investida, Pó Venenoso",Primeira
Venomoth,"Inseto, Venenoso","Investida, Pó Venenoso",Primeira
Diglett,"Terra","Investida de Areia, Terremoto",Primeira
Dugtrio,"Terra","Investida de Areia, Terremoto",Primeira
Meowth,"Normal","Investida, Hyper Presa",Primeira
Persian,"Normal","Investida, Hyper Presa",Primeira
Psyduck,"Água","Surf, Jato de Água",Primeira
Golduck,"Água","Surf, Jato de Água",Primeira
Mankey,"Lutador","Soco Dinâmico, Investida",Primeira
Primeape,"Lutador","Soco Dinâmico, Investida",Primeira
Growlithe,"Fogo","Chama, Investida de Fogo",Primeira
Arcanine,"Fogo","Chama, Investida de Fogo",Primeira
Poliwag,"Água","Surf, Jato de Água",Primeira
Poliwhirl,"Água","Surf, Jato de Água",Primeira
Poliwrath,"Água, Lutador","Surf, Soco Dinâmico",Primeira
Abra,"Psíquico","Confusão, Raio Psíquico",Primeira
Kadabra,"Psíquico","Confusão, Raio Psíquico",Primeira
Alakazam,"Psíquico","Confusão, Raio Psíquico",Primeira
Machop,"Lutador","Soco Dinâmico, Investida",Primeira
Machoke,"Lutador","Soco Dinâmico, Investida",Primeira
Machamp,"Lutador","Soco Dinâmico, Investida",Primeira
Bellsprout,"Planta, Venenoso","Raio Solar, Veneno Ácido",Primeira
Weepinbell,"Planta, Venenoso","Raio Solar, Veneno Ácido",Primeira
Victreebel,"Planta, Venenoso","Raio Solar, Investida de Folhas",Primeira
Tentacool,"Água, Venenoso","Surf, Investida de Ácido",Primeira
Tentacruel,"Água, Venenoso","Surf, Investida de Ácido",Primeira
Geodude,"Rocha, Terra","Pedra Afiada, Investida de Pedra",Primeira
Graveler,"Rocha, Terra","Pedra Afiada, Investida de Pedra",Primeira
Golem,"Rocha, Terra","Pedra Afiada, Investida de Pedra",Primeira
Ponyta,"Fogo","Chama, Investida de Fogo",Primeira
Rapidash,"Fogo","Chama, Investida de Fogo",Primeira
Slowpoke,"Água, Psíquico","Surf, Confusão",Primeira
Slowbro,"Água, Psíquico","Surf, Confusão",Primeira
Magnemite,"Elétrico, Metal","Raio Veloz, Choque do Trovão",Primeira
Magneton,"Elétrico, Metal","Raio Veloz, Choque do Trovão",Primeira
Farfetch'd,"Normal, Voador","Investida, Bico Perfurante",Primeira
Doduo,"Normal, Voador","Investida, Bico Perfurante",Primeira
Dodrio,"Normal, Voador","Investida, Bico Perfurante",Primeira
Seel,"Água","Surf, Jato de Água",Primeira
Dewgong,"Água, Gelo","Surf, Raio de Gelo",Primeira
Grimer,"Venenoso","Presa Venenosa, Investida de Ácido",Primeira
Muk,"Venenoso","Presa Venenosa, Investida de Ácido",Primeira
Shellder,"Água","Surf, Jato de Água",Primeira
Cloyster,"Água, Gelo","Surf, Raio de Gelo",Primeira
Gastly,"Fantasma, Venenoso","Bola Sombria, Confusão",Primeira
Haunter,"Fantasma, Venenoso","Bola Sombria, Confusão",Primeira
Gengar,"Fantasma, Venenoso","Bola Sombria, Confusão",Primeira
Onix,"Rocha, Terra","Pedra Afiada, Investida de Pedra",Primeira
Drowzee,"Psíquico","Confusão, Raio Psíquico",Primeira
Hypno,"Psíquico","Confusão, Raio Psíquico",Primeira
Krabby,"Água","Surf, Jato de Água",Primeira
Kingler,"Água","Surf, Jato de Água",Primeira
Voltorb,"Elétrico","Raio Veloz, Choque do Trovão",Primeira
Electrode,"Elétrico","Raio Veloz, Choque do Trovão",Primeira
Exeggcute,"Planta, Psíquico","Raio Solar, Confusão",Primeira
Exeggutor,"Planta, Psíquico","Raio Solar, Confusão",Primeira
Cubone,"Terra","Investida de Areia, Terremoto",Primeira
Marowak,"Terra","Investida de Areia, Terremoto",Primeira
Hitmonlee,"Lutador","Soco Dinâmico, Investida",Primeira
Hitmonchan,"Lutador","Soco Dinâmico, Investida",Primeira
Lickitung,"Normal","Investida, Lamber",Primeira
Koffing,"Venenoso","Presa Venenosa, Gás Venenoso",Primeira
Weezing,"Venenoso","Presa Venenosa, Gás Venenoso",Primeira
Rhyhorn,"Terra, Rocha","Investida de Pedra, Terremoto",Primeira
Rhydon,"Terra, Rocha","Investida de Pedra, Terremoto",Primeira
Chansey,"Normal","Investida, Hiper Raio",Primeira
Tangela,"Planta","Raio Solar, Investida de Folhas",Primeira
Kangaskhan,"Normal","Investida, Hiper Raio",Primeira
Horsea,"Água","Surf, Jato de Água",Primeira
Seadra,"Água","Surf, Jato de Água",Primeira
Goldeen,"Água","Surf, Jato de Água",Primeira
Seaking,"Água","Surf, Jato de Água",Primeira
Staryu,"Água","Surf, Jato de Água",Primeira
Starmie,"Água, Psíquico","Surf, Confusão",Primeira
Mr. Mime,"Psíquico, Fada","Confusão, Raio Psíquico",Primeira
Scyther,"Inseto, Voador","Investida, Agulha Dupla",Primeira
Jynx,"Gelo, Psíquico","Raio de Gelo, Confusão",Primeira
Electabuzz,"Elétrico","Raio Veloz, Choque do Trovão",Primeira
Magmar,"Fogo","Chama, Investida de Fogo",Primeira
Pinsir,"Inseto","Investida, Agulha Dupla",Primeira
Tauros,"Normal","Investida, Chifre Furioso",Primeira
Magikarp,"Água","Surf, Jato de Água",Primeira
Gyarados,"Água, Voador","Surf, Bico Perfurante",Primeira
Lapras,"Água, Gelo","Surf, Raio de Gelo",Primeira
Ditto,"Normal","Investida, Transform",Primeira
Eevee,"Normal","Investida, Hyper Presa",Primeira
Vaporeon,"Água","Surf, Jato de Água",Primeira
Jolteon,"Elétrico","Raio Veloz, Choque do Trovão",Primeira
Flareon,"Fogo","Chama, Investida de Fogo",Primeira
Porygon,"Normal","Investida, Raio Psíquico",Primeira
Omanyte,"Pedra, Água","Investida de Água, Investida de Pedra",Primeira
Omastar,"Pedra, Água","Investida de Água, Investida de Pedra",Primeira
Kabuto,"Pedra, Água","Investida de Água, Investida de Pedra",Primeira
Kabutops,"Pedra, Água","Investida de Água, Investida de Pedra",Primeira
Aerodactyl,"Rocha, Voador","Pedra Afiada, Investida de Pedra",Primeira
Snorlax,"Normal","Investida, Hiper Raio",Primeira
Articuno,"Gelo, Voador","Raio de Gelo, Vento Cortante",Primeira
Zapdos,"Elétrico, Voador","Raio Veloz, Vento Cortante",Primeira
Moltres,"Fogo, Voador","Chama, Vento Cortante",Primeira
Dratini,"Dragão","Garra Dragônica, Investida de Dragão",Primeira
Dragonair,"Dragão","Garra Dragônica, Investida de Dragão",Primeira
Dragonite,"Dragão, Voador","Garra Dragônica, Vento Cortante",Primeira
Mewtwo,"Psíquico","Confusão, Raio Psíquico",Primeira
Mew,"Psíquico","Confusão, Raio Psíquico",Primeira
Chikorita,"Planta","Raio Solar, Investida de Folhas",Segunda
Bayleef,"Planta","Raio Solar, Investida de Folhas",Segunda
Meganium,"Planta","Raio Solar, Investida de Folhas",Segunda
Cyndaquil,"Fogo","Chama, Investida de Fogo",Segunda
Quilava,"Fogo","Chama, Investida de Fogo",Segunda
Typhlosion,"Fogo","Chama, Investida de Fogo",Segunda
Totodile,"Água","Surf, Jato de Água",Segunda
Croconaw,"Água","Surf, Jato de Água",Segunda
Feraligatr,"Água","Surf, Jato de Água",Segunda
Sentret,"Normal","Investida, Hyper Presa",Segunda
Furret,"Normal","Investida, Hyper Presa",Segunda
Hoothoot,"Normal, Voador","Investida, Vento Cortante",Segunda
Noctowl,"Normal, Voador","Investida, Vento Cortante",Segunda
Ledyba,"Inseto, Voador","Investida, Agulha Dupla",Segunda
Ledian,"Inseto, Voador","Investida, Agulha Dupla",Segunda
Spinarak,"Inseto, Venenoso","Investida, Pó Venenoso",Segunda
Ariados,"Inseto, Venenoso","Investida, Pó Venenoso",Segunda
Crobat,"Venenoso, Voador","Investida, Vento Cortante",Segunda
Chinchou,"Água, Elétrico","Surf, Raio Veloz",Segunda
Lanturn,"Água, Elétrico","Surf, Raio Veloz",Segunda
Pichu,"Elétrico","Raio Veloz, Choque do Trovão",Segunda
Cleffa,"Fada","Investida, Bola Sombria",Segunda
Igglybuff,"Normal, Fada","Investida, Bola Sombria",Segunda
Togepi,"Fada","Investida, Bola Sombria",Segunda
Togetic,"Fada, Voador","Investida, Vento Cortante",Segunda
Natu,"Psíquico, Voador","Confusão, Vento Cortante",Segunda
Xatu,"Psíquico, Voador","Confusão, Vento Cortante",Segunda
Mareep,"Elétrico","Raio Veloz, Choque do Trovão",Segunda
Flaaffy,"Elétrico","Raio Veloz, Choque do Trovão",Segunda
Ampharos,"Elétrico","Raio Veloz, Choque do Trovão",Segunda
Bellossom,"Planta","Raio Solar, Investida de Folhas",Segunda
Marill,"Água, Fada","Surf, Jato de Água",Segunda
Azumarill,"Água, Fada","Surf, Jato de Água",Segunda
Sudowoodo,"Rocha","Pedra Afiada, Investida de Pedra",Segunda
Politoed,"Água","Surf, Jato de Água",Segunda
Hoppip,"Planta, Voador","Raio Solar, Vento Cortante",Segunda
Skiploom,"Planta, Voador","Raio Solar, Vento Cortante",Segunda
Jumpluff,"Planta, Voador","Raio Solar, Vento Cortante",Segunda
Aipom,"Normal","Investida, Hyper Presa",Segunda
Sunkern,"Planta","Raio Solar, Investida de Folhas",Segunda
Sunflora,"Planta","Raio Solar, Investida de Folhas",Segunda
Yanma,"Inseto, Voador","Investida, Agulha Dupla",Segunda
Wooper,"Água, Terra","Surf, Investida de Areia",Segunda
Quagsire,"Água, Terra","Surf, Investida de Areia",Segunda
Espeon,"Psíquico","Confusão, Raio Psíquico",Segunda
Umbreon,"Noturno","Punho Sombrio, Raio Psíquico",Segunda
Murkrow,"Noturno, Voador","Punho Sombrio, Vento Cortante",Segunda
Slowking,"Água, Psíquico","Surf, Confusão",Segunda
Misdreavous,"Fantasma","Bola Sombria, Confusão",Segunda
Unown,"Psíquico","Confusão, Raio Psíquico",Segunda
Wobbuffet,"Psíquico","Confusão, Raio Psíquico",Segunda
Girafarig,"Normal, Psíquico","Investida, Confusão",Segunda
Pineco,"Inseto","Investida, Agulha Dupla",Segunda
Forretress,"Inseto, Metal","Investida, Agulha Dupla",Segunda
Dunsparce,"Normal","Investida, Hyper Presa",Segunda
Gligar,"Terrestre, Voador","Investida de Pedra, Vento Cortante",Segunda
Steelix,"Metal, Terra","Pedra Afiada, Investida de Pedra",Segunda
Snubbull,"Fada","Investida, Mordida",Segunda
Granbull,"Fada","Investida, Mordida",Segunda
Qwilfish,"Água, Venenoso","Surf, Investida de Ácido",Segunda
Scizor,"Inseto, Metal","Investida, Agulha Dupla",Segunda
Shuckle,"Inseto, Rocha","Investida, Pedra Afiada",Segunda
Heracross,"Inseto, Lutador","Investida, Soco Dinâmico",Segunda
Sneasel,"Noturno, Gelo","Punho Sombrio, Raio de Gelo",Segunda
Teddiursa,"Normal","Investida, Mordida",Segunda
Ursaring,"Normal","Investida, Mordida",Segunda
Slugma,"Fogo","Chama, Investida de Fogo",Segunda
Magcargo,"Fogo, Rocha","Chama, Investida de Pedra",Segunda
Swinub,"Gelo, Terrestre","Raio de Gelo, Terremoto",Segunda
Piloswine,"Gelo, Terrestre","Raio de Gelo, Terremoto",Segunda
Corsola,"Água, Rocha","Surf, Investida de Pedra",Segunda
Remoraid,"Água","Surf, Jato de Água",Segunda
Octillery,"Água","Surf, Jato de Água",Segunda
Delibird,"Gelo, Voador","Raio de Gelo, Vento Cortante",Segunda
Mantine,"Água, Voador","Surf, Vento Cortante",Segunda
Skarmory,"Metal, Voador","Pedra Afiada, Vento Cortante",Segunda
Houndour,"Noturno, Fogo","Punho Sombrio, Chama",Segunda
Houndoom,"Noturno, Fogo","Punho Sombrio, Chama",Segunda
Kingdra,"Água, Dragão","Surf, Garra Dragônica",Segunda
Phanpy,"Terrestre","Investida de Areia, Terremoto",Segunda
Donphan,"Terrestre","Investida de Areia, Terremoto",Segunda
Porygon2,"Normal","Investida, Raio Psíquico",Segunda
Stantler,"Normal","Investida, Hyper Presa",Segunda
Smeargle,"Normal","Investida, Confusão",Segunda
Tyrogue,"Lutador","Soco Dinâmico, Investida",Segunda
Hitmontop,"Lutador","Soco Dinâmico, Investida",Segunda
Smoochum,"Gelo, Psíquico","Raio de Gelo, Confusão",Segunda
Elekid,"Elétrico","Raio Veloz, Choque do Trovão",Segunda
Magby,"Fogo","Chama, Investida de Fogo",Segunda
Miltank,"Normal","Investida, Hyper Presa",Segunda
Blissey,"Normal","Investida, Hiper Raio",Segunda
Raikou,"Elétrico","Raio Veloz, Choque do Trovão",Segunda
Entei,"Fogo","Chama, Investida de Fogo",Segunda
Suicune,"Água","Surf, Jato de Água",Segunda
Larvitar,"Pedra, Terrestre","Investida de Pedra, Terremoto",Segunda
Pupitar,"Pedra, Terrestre","Investida de Pedra, Terremoto",Segunda
Tyranitar,"Pedra, Noturno","Investida de Pedra, Punho Sombrio",Segunda
Lugia,"Psíquico, Voador","Confusão, Vento Cortante",Segunda
Ho-Oh,"Fogo, Voador","Chama, Vento Cortante",Segunda
Celebi,"Psíquico, Planta","Confusão, Raio Solar",Segunda
Treecko,"Planta","Raio Solar, Investida de Folhas",Terceira
Grovyle,"Planta","Raio Solar, Investida de Folhas",Terceira
Sceptile,"Planta","Raio Solar, Investida de Folhas",Terceira
Torchic,"Fogo","Chama, Investida de Fogo",Terceira
Combusken,"Fogo, Lutador","Chama, Investida de Fogo",Terceira
Blaziken,"Fogo, Lutador","Chama, Soco Dinâmico",Terceira
Mudkip,"Água","Surf, Jato de Água",Terceira
Marshtomp,"Água, Terrestre","Surf, Terremoto",Terceira
Swampert,"Água, Terrestre","Surf, Terremoto",Terceira
Poochyena,"Noturno","Investida, Mordida",Terceira
Mightyena,"Noturno","Investida, Mordida",Terceira
Zigzagoon,"Normal","Investida, Mordida",Terceira
Linoone,"Normal","Investida, Mordida",Terceira
Wurmple,"Inseto","Investida, Pó Venenoso",Terceira
Silcoon,"Inseto","Investida, Pó Venenoso",Terceira
Beautifly,"Inseto, Voador","Investida, Vento Cortante",Terceira
Cascoon,"Inseto","Investida, Pó Venenoso",Terceira
Dustox,"Inseto, Venenoso","Investida, Pó Venenoso",Terceira
Lotad,"Água, Planta","Surf, Raio Solar",Terceira
Lombre,"Água, Planta","Surf, Raio Solar",Terceira
Ludicolo,"Água, Planta","Surf, Raio Solar",Terceira
Seedot,"Planta","Raio Solar, Investida de Folhas",Terceira
Nuzleaf,"Planta, Noturno","Raio Solar, Investida de Folhas",Terceira
Shiftry,"Planta, Noturno","Raio Solar, Investida de Folhas",Terceira
Taillow,"Normal, Voador","Investida, Vento Cortante",Terceira
Swellow,"Normal, Voador","Investida, Vento Cortante",Terceira
Wingull,"Água, Voador","Surf, Vento Cortante",Terceira
Pelipper,"Água, Voador","Surf, Vento Cortante",Terceira
Ralts,"Psíquico, Fada","Confusão, Raio Psíquico",Terceira
Kirlia,"Psíquico, Fada","Confusão, Raio Psíquico",Terceira
Gardevoir,"Psíquico, Fada","Confusão, Raio Psíquico",Terceira
Surskit,"Inseto, Água","Investida, Jato de Água",Terceira
Masquerain,"Inseto, Voador","Investida, Vento Cortante",Terceira
Shroomish,"Planta","Raio Solar, Investida de Folhas",Terceira
Breloom,"Planta, Lutador","Raio Solar, Soco Dinâmico",Terceira
Slakoth,"Normal","Investida, Mordida",Terceira
Vigoroth,"Normal","Investida, Mordida",Terceira
Slaking,"Normal","Investida, Mordida",Terceira
Nincada,"Inseto, Terrestre","Investida, Pedra Afiada",Terceira
Ninjask,"Inseto, Voador","Investida, Vento Cortante",Terceira
Shedinja,"Inseto, Fantasma","Investida, Bola Sombria",Terceira
Whismur,"Normal","Investida, Hyper Presa",Terceira
Loudred,"Normal","Investida, Hyper Presa",Terceira
Exploud,"Normal","Investida, Hyper Presa",Terceira
Makuhita,"Lutador","Soco Dinâmico, Investida",Terceira
Hariyama,"Lutador","Soco Dinâmico, Investida",Terceira
Azurill,"Normal, Fada","Investida, Jato de Água",Terceira
Nosepass,"Rocha","Pedra Afiada, Investida de Pedra",Terceira
Skitty,"Normal","Investida, Mordida",Terceira
Delcatty,"Normal","Investida, Mordida",Terceira
Sableye,"Noturno, Fantasma","Punho Sombrio, Bola Sombria",Terceira
Mawile,"Aço, Fada","Investida, Mordida",Terceira
Aron,"Metal, Rocha","Pedra Afiada, Investida de Pedra",Terceira
Lairon,"Metal, Rocha","Pedra Afiada, Investida de Pedra",Terceira
Aggron,"Metal, Rocha","Pedra Afiada, Investida de Pedra",Terceira
Meditite,"Lutador, Psíquico","Soco Dinâmico, Confusão",Terceira
Medicham,"Lutador, Psíquico","Soco Dinâmico, Confusão",Terceira
Electrike,"Elétrico","Raio Veloz, Choque do Trovão",Terceira
Manectric,"Elétrico","Raio Veloz, Choque do Trovão",Terceira
Plusle,"Elétrico","Raio Veloz, Choque do Trovão",Terceira
Minun,"Elétrico","Raio Veloz, Choque do Trovão",Terceira
Volbeat,"Inseto","Investida, Raio Psíquico",Terceira
Illumise,"Inseto","Investida, Raio Psíquico",Terceira
